Wall time,Step,Value
1727270042.8308947,24,-0.0052424087189137936
1727270043.1694486,48,-0.008764583617448807
1727270043.5037055,72,-0.008133672177791595
1727270043.8385017,96,-0.008162233047187328
1727270044.17013,120,-0.008365095593035221
1727270044.502336,144,-0.008609877899289131
1727270044.8340335,168,-0.008255181834101677
1727270045.1663897,192,-0.008042697794735432
1727270045.4962883,216,-0.007942053489387035
1727270045.838208,240,-0.007673484738916159
1727270046.1702557,264,-0.0076101357117295265
1727270046.5106025,288,-0.007510250434279442
1727270046.858634,312,-0.0073419129475951195
1727270047.1946886,336,-0.007196139078587294
1727270047.5538943,360,-0.007188648916780949
1727270047.908165,384,-0.007156040985137224
1727270048.2481332,408,-0.007189256139099598
1727270048.583601,432,-0.007222162093967199
1727270048.9362807,456,-0.007339309900999069
1727270049.2806141,480,-0.007398763205856085
1727270049.6234112,504,-0.007425493095070124
1727270049.9812193,528,-0.0074785081669688225
1727270050.3159375,552,-0.007575272582471371
1727270050.6591449,576,-0.0076667917892336845
1727270050.99923,600,-0.007807479240000248
1727270051.325977,624,-0.007987039163708687
1727270051.6805158,648,-0.008155959658324718
1727270052.0354824,672,-0.008293788880109787
1727270052.3798792,696,-0.008523768745362759
1727270052.7259476,720,-0.008911900222301483
1727270053.0628414,744,-0.009497134946286678
1727270053.3898377,768,-0.010233116336166859
1727270053.7277935,792,-0.011176569387316704
1727270054.0566664,816,-0.01293906755745411
1727270054.4043798,840,-0.014387939125299454
1727270054.7615433,864,-0.016660839319229126
1727270055.0976245,888,-0.020702345296740532
1727270055.4358215,912,-0.024839697405695915
1727270055.7664175,936,-0.02521534450352192
1727270056.0929186,960,-0.027151240035891533
1727270056.4308624,984,-0.024460306391119957
1727270056.761842,1008,-0.022530054673552513
1727270057.1158955,1032,-0.022705871611833572
1727270057.4537752,1056,-0.024690531194210052
1727270057.7782366,1080,-0.03215908631682396
1727270058.1064997,1104,-0.0379023440182209
1727270058.4340982,1128,-0.04197604954242706
1727270058.756894,1152,-0.062094856053590775
1727270059.071788,1176,-0.05721874535083771
1727270059.3866615,1200,-0.08154565840959549
1727270059.6961427,1224,-0.06690322607755661
1727270060.001669,1248,-0.011659682728350163
1727270060.3058429,1272,-0.009476679377257824
1727270060.6123068,1296,-0.009476679377257824
1727270060.918514,1320,-0.009476679377257824
1727270061.2214527,1344,-0.009476679377257824
1727270061.526361,1368,-0.009476679377257824
1727270061.851286,1392,-0.6568223834037781
1727270062.1659632,1416,-0.9071864485740662
1727270062.4889035,1440,-0.7023959159851074
1727270062.8116698,1464,-0.4231032431125641
1727270063.1381395,1488,-0.4379898011684418
1727270063.4634566,1512,-0.40292057394981384
1727270063.7849815,1536,-0.35860127210617065
1727270064.1152868,1560,-0.37752264738082886
1727270064.4444315,1584,-0.366060733795166
1727270064.7694416,1608,-0.3292404115200043
1727270065.0944822,1632,-0.36882683634757996
1727270065.4196165,1656,-0.2663567364215851
1727270065.7395842,1680,-0.2794312536716461
1727270066.0475051,1704,-0.35340583324432373
1727270066.3509521,1728,-0.24953149259090424
1727270066.6629508,1752,-0.24396362900733948
1727270066.9719157,1776,-0.31930235028266907
1727270067.280786,1800,-0.31930235028266907
1727270067.5924883,1824,-0.31930235028266907
1727270067.9017887,1848,-0.31930235028266907
1727270068.2110066,1872,-0.2934195399284363
1727270068.5244973,1896,-0.0982455462217331
1727270068.8536725,1920,-0.6072148680686951
1727270069.1665525,1944,-0.3554475009441376
1727270069.491193,1968,-0.4716443717479706
1727270069.8231187,1992,-0.3473995327949524
1727270070.1516793,2016,-0.3577219545841217
1727270070.488974,2040,-0.3828626573085785
1727270070.8208907,2064,-0.33642616868019104
1727270071.1516023,2088,-0.3810040354728699
1727270071.4866657,2112,-0.3812790811061859
1727270071.8221216,2136,-0.4631302058696747
1727270072.1557498,2160,-0.26814141869544983
1727270072.4746594,2184,-0.13730378448963165
1727270072.7933607,2208,-0.21464526653289795
1727270073.0980573,2232,-0.06964287161827087
1727270073.4072573,2256,-0.7387139797210693
1727270073.7072916,2280,-0.7661893367767334
1727270074.0046248,2304,-0.7661893367767334
1727270074.299477,2328,-0.7661893367767334
1727270074.600907,2352,-0.7661893367767334
1727270074.9016297,2376,-0.5591978430747986
1727270075.2073915,2400,-0.02633167803287506
1727270075.5122232,2424,-0.15229010581970215
1727270075.8436475,2448,-0.4302915334701538
1727270076.1665897,2472,-0.4647477865219116
1727270076.4837458,2496,-0.4156527519226074
1727270076.811231,2520,-0.3921886682510376
1727270077.1398754,2544,-0.39211592078208923
1727270077.4727871,2568,-0.4130611717700958
1727270077.805324,2592,-0.3663190007209778
1727270078.1362536,2616,-0.3901894688606262
1727270078.4729583,2640,-0.347841739654541
1727270078.8035233,2664,-0.509884238243103
1727270079.1207972,2688,-0.12701398134231567
1727270079.4373481,2712,-0.5237749814987183
1727270079.7506654,2736,-1.0741385221481323
1727270080.0583303,2760,-0.041913483291864395
1727270080.3684988,2784,-0.041913483291864395
1727270080.6746516,2808,-0.041913483291864395
1727270080.9820452,2832,-0.041913483291864395
1727270081.291505,2856,-0.041913483291864395
1727270081.597787,2880,-0.09270499646663666
1727270081.91092,2904,-0.22477221488952637
1727270082.2245233,2928,-0.35945671796798706
1727270082.5555599,2952,-0.30134934186935425
1727270082.8931265,2976,-0.34881511330604553
1727270083.2240555,3000,-0.3648165464401245
1727270083.5559623,3024,-0.40756383538246155
1727270083.8914924,3048,-0.3916057050228119
1727270084.2339919,3072,-0.3687737286090851
1727270084.5712833,3096,-0.33997589349746704
1727270084.9054968,3120,-0.324290007352829
1727270085.2408578,3144,-0.46698248386383057
1727270085.5855572,3168,-0.57546067237854
1727270085.9079792,3192,-0.862259566783905
1727270086.2211273,3216,-0.30204519629478455
1727270086.5346475,3240,-0.08081655204296112
1727270086.844838,3264,-0.029110733419656754
